URL|Entropy|BagOfWords|ContainsIP|LengthURL|SpecialChars|SuspiciousStrings|NumberOfDigits|Popularity|Safebrowsing|Malicious
http://manadajid.net/timing/682a7229dbacb8efd2a874f7170d6e3a814ed4522fe4e9d9d836c74363279c25c8c24057d4e6ca6fb8cc66cfa0815d3a|4.311002465338879|4|0|117|0|0|58|0|0|1
http://businesspageshop.businesspage.ecuaradionline.com/e1cbb08316a704d8f3ba7f66dd385d49|4.561194140177036|5|0|81|0|0|19|0|1|1
http://www.mobile.free.moncompte.servic0c.beget.tech/free.mobile.mon.compte.fr/221b37276732894817bfa4505bcc4441/|4.551875699494671|11|0|105|0|1|26|0|1|1
http://fixleaks.com/dist/dxmbox/xmlprdot/c6b7d8f734a81ee6d8f73dcc5398905b/|4.5675275786083995|6|0|67|0|0|19|0|1|1
http://https.mobile.free.fr.moncompte.freemod0.beget.tech/frebox158418/2317bbf2548f243d00597dd2ead841d6|4.573884597640899|10|0|96|0|1|28|0|1|1
http://112.213.107.40/~hivtest/download/w/w/new=season/bxb_logOnS=01022225/AUTH/login.php|4.764828115177501|13|1|82|0|0|19|0|1|1
http://www.fixleaks.com/dist/dxmbox/xmlprdot/cfacb3636044566ecbb8129f96b53d5d/|4.614988148931047|7|0|71|0|0|19|0|1|1
http://mobile.free.fr.moncompte.freemorg.beget.tech/frebox158418/7177dba65678974d3910ca507b115def/|4.49904659375303|9|0|91|0|1|28|0|1|1
http://mrdangola.com/.t67u83jne/c9xkyakca9fcussmjfiijy52.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=&.rand=13InboxLight.aspx?n=1774256418&fid=4|5.022202566580978|15|0|228|1|0|70|0|1|1
http://test2.jessekanclerz.com/m4il/0c53dc1e8cb2865431047f49a8c0e2c4/|4.5583037709677745|5|0|62|0|0|23|0|1|1
https://safetyafrike.com/mood/bcf59a6496548c578b77345f7635e502/|4.421469031352455|4|0|55|0|0|24|0|1|1
http://amronail.com/webprog/validation/f35171a487983afeab4934248db11254/|4.5411266601439335|5|0|65|0|0|23|0|1|1
http://112.213.107.40/~centrics/wp-includes/w/w/new=season/bxb_logOnS=01022225/AUTH/login.php|4.840176057098516|14|1|86|0|0|19|0|1|1
http://www.luzevarela.com/wp-admin/office365/office365/f86ce8a22e899fb226e059574c1182bf|4.61209169033523|7|0|80|0|0|27|0|1|1
https://www.safetyafrike.com/mood/61cf5eb82326358e590acc8503fc7194|4.55825551262319|5|0|58|0|0|22|0|1|1
http://112.213.107.40/~hivtest/download/w/w/new=season/bxb_logOnS=01022225/AUTH/|4.691412531684755|11|1|73|0|0|19|0|1|1
http://ieas.org.gr/modules/mod_breadcrumbs/tmpl/campolino/chines/8b056ea2c1fc71b35a6e0491b795d16e/?login=&.verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw+DQo8c3R5bGU+IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt|5.643082678140447|22|0|252|3|1|39|0|1|1
http://test2.jessekanclerz.com/m4il/30fbcca07783aa7b8ad0d157ade4d23b|4.518623149244565|5|0|61|0|0|18|0|1|1
http://www.balancelouisville.com/symbol/workzone/dropboxnew/dropbox/bc27c63e572cd66cd6265d2478cd707e|4.578212818344745|8|0|93|0|0|20|0|1|1
http://www.briansenglish.com/microsoft/12a2701d6a138d15b516281809992e13/|4.642512667309825|5|0|65|0|0|26|0|1|1
http://mildjs.com/wp-includes/Text/ratty/newtruexfinity/4af0d3e2346a1f62a715994537e54d81/|4.840434590058228|8|0|82|0|0|23|0|1|1
https://manadajid.net/timing/e38913156d2af830bfcd70450a0e12a1eb4a2e21250a0f11d0321c9c5563721bfed2d302c3c05313847da6bc338c3d6d/|4.276782380554909|4|0|118|0|0|62|0|0|1
http://www.mobile.free.moncompte.freemokx.beget.tech/freemobilemoncompte/9003b1359ae9bb493e16531cd6d2649c|4.47267314706134|9|0|98|0|1|22|0|1|1
https://luzevarela.com/wp-admin/office365/office365/570b78c2ab2ed71e9ed92b4e642f0fc0/|4.620446852766223|6|0|77|0|0|24|0|1|1
http://luzevarela.com/wp-admin/office365/office365/b40ad425aa67fef2563f9f579d4c11fd/|4.527986911483578|6|0|77|0|0|24|0|1|1
http://integratedenergyresourcesgh.com/fresh/pdf/prefix/includes/Verify.php|4.1719504384778245|8|0|68|0|0|0|0|1|1
http://firstcars.gr/css/wii/714479fdf33578a16bce53c0fb7f891f/|4.300640742663824|5|0|54|0|0|20|0|1|1
http://firstcars.gr/css/wii/714479fdf33578a16bce53c0fb7f891f/securecode.php|4.515494414932971|7|0|68|0|0|20|0|1|1
http://adermobilite.fr/wp-includes/SimplePie/XML/Declaration/New/Index.php|4.543117548408403|10|0|67|0|0|0|0|1|1
http://nabconnect5.nab.com.au.servicing.auth.nabc.login.www9wo3kgyof6asmnqoq.q.nab.connect.yapitek.com.tr/nab/6fd67ac5ffb9bc7845a26650e65e3879/login/|4.658686944106606|13|0|142|0|0|24|0|1|1
https://womenz.net.au/blo/marketreview/|3.91017927888364|5|0|31|0|0|0|0|1|1
http://50.6.20.129/MijnSNS-Digicode.nl/|4.288909765557392|6|1|32|0|0|8|0|1|1
http://praxisgroup.cl/images/slider/Alibaba.com/images/login.htm|4.153089909570804|8|0|57|0|0|0|0|1|1
http://www.becomeahospitalist.com/wp-includes/gb.php|4.191201429374546|7|0|45|0|0|0|0|0|1
http://www.sameteam.net/dominican/|3.578056483244308|4|0|27|0|0|0|0|0|1
http://www.facebook-gruppe-mineks.com/|4.106949132758152|5|0|31|0|0|0|0|1|1
http://ideasthatwork.us/wp-contra/-/particulier/popualir/france/8f19d/|4.267905566806091|8|0|63|0|0|3|0|1|1
http://ideasthatwork.us/wp-contra/-/particulier/popualir/france/8f19d/cyberplusauthentification/final.php|4.334790300459447|11|0|98|0|0|3|0|1|1
http://ideasthatwork.us/wp-contra/-/particulier/popualir/france/f7522/|4.267905566806091|8|0|63|0|0|4|0|1|1
http://ideasthatwork.us/wp-contra/-/particulier/popualir/france/f7522/cyberplusauthentification/final.php|4.334790300459447|11|0|98|0|0|4|0|1|1
http://ideasthatwork.us/wp-contra/-/particulier/popualir/france/ea77e/|4.125104575975144|8|0|63|0|0|2|0|1|1
http://ideasthatwork.us/wp-contra/-/particulier/popualir/france/ea77e/cyberplusauthentification/final.php|4.23798736762248|11|0|98|0|0|2|0|1|1
http://ideasthatwork.us/wp-contra/-/particulier/popualir/france/|4.086418522557116|7|0|57|0|0|0|0|1|1
http://ideasthatwork.us/wp-contra/-/particulier/popualir/france/5d807/cyberplusauthentification/final.php|4.3679036932945134|11|0|98|0|0|4|0|1|1
http://kerncommunicatie.com/secure.bankofamerica.comloginsign-insignOnV2Screen.go/signOnV2Screen.php|4.243489865691807|9|0|93|0|0|2|0|1|1
http://kerncommunicatie.com/secure.bankofamerica.comloginsign-insignOnV2Screen.go/challengevdl.php?tm&aof=8402c21d6b9fe3dc15803b3d3c98375b&challengesession=de6417eb62a2ebfd26909f770615d28047894cbc|4.950057391957583|14|0|189|1|0|48|0|1|1
http://kerncommunicatie.com/secure.bankofamerica.comloginsign-insignOnV2Screen.go/overviewshn.php?read&help=create&success=bf&hm=f97c4e3c15125bb08bc93028c5330a81&lcate=dc09ebf915daacb29752c4ed7c74291370e5acbb|4.902182939011156|18|0|201|1|0|44|0|1|1
https://writersadventute45.ga/pdf/marketreview/|4.028490680178815|4|0|39|0|0|2|0|1|1
http://phoenix.sla.org/wells/wellsfargo.com.shtml|4.0050635535766075|7|0|42|0|0|0|0|0|1
https://fastdiscountfinder.com/Closing%20mail/encrypted%20mail/index.php|4.4701030781525795|7|0|64|1|0|4|0|1|1
https://fastdiscountfinder.com/Closing%20mail/encrypted%20mail/step2.php|4.4429884298164914|7|0|64|1|0|5|0|1|1
http://gggdesigns.co.za/folder/service/file/site/|3.8418551494748616|7|0|42|0|0|0|0|1|1
https://www.drsaoskinclinic.com/redirect.php|3.995906598484245|5|0|36|0|0|0|0|1|1
https://recovery-help-centre02032018.000webhostapp.com/Payment-update-01.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed|4.807301389940535|16|0|137|1|0|14|0|1|1
https://recovery-help-centre02032018.000webhostapp.com/Payment-update-0.html?amp;count=0&amp;fb_bmpos=login_failed&amp;ref=bookmarks&fb_source=bookmark_apps|4.799047045064783|16|0|148|2|0|13|0|1|1
https://fbsystemrecovery24.000webhostapp.com/Payment-update-0.html?=10065877425?fb_source=bookmark_apps&amp;ref=bookmarks&amp;count=0&amp;fb_bmpos=login_failed|4.920335490552889|15|0|151|2|0|18|0|1|1
https://nolificition-sign.000webhostapp.com/Payment-update-01.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed|4.698472186156454|15|0|126|1|0|6|0|1|1
https://nolificition-sign.000webhostapp.com/Payment-update-0.html?fb_source=bookmark_apps&amp;ref=bookmarks&amp;count=0&amp;fb_bmpos=login_failed|4.678385667491781|15|0|137|2|0|5|0|1|1
https://recovery-help-centre20180205.000webhostapp.com/Payment-update-01.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed|4.807301389940535|16|0|137|1|0|14|0|1|1
https://recovery-help-centre20180205.000webhostapp.com/Payment-update-0.html?fb_source=bookmark_apps&amp;ref=bookmarks&amp;count=0&amp;fb_bmpos=login_failed|4.799047045064783|16|0|148|2|0|13|0|1|1
http://www.customlogomatsng.com/admin/mani/f9484de11eefb2cf6370bd09e8c283a3|4.6331414737565|6|0|68|0|0|18|0|1|1
http://www.mobile.free.moncompte.freemokx.beget.tech/freemobilemoncompte/797a1759dadfb8a66021ded0d7fab87e|4.470635076242773|9|0|98|0|1|17|0|1|1
http://www.bloggingfornetworking.com/lmages/4470f7316c2d6cfccd44334e3853660c|4.563548240341535|5|0|69|0|0|22|0|1|1
http://www.crosslinkservicesltd.com/wp-include|4.047846769977879|5|0|39|0|0|0|0|1|1
http://www.custommedz.com/wp-admin/user/jss/admin/index1.php|4.237472936455822|9|0|53|0|0|1|0|1|1
http://www.andoburg.com/concept/dropboxnew/dropbox/eea87d6689effff34b54e452a9a73bf8|4.4991134947516835|7|0|76|0|0|17|0|0|1
http://www.tatefire.co.uk/forumpartners.com/da70f127165930feae0392bd94bc60ac|4.626802268987914|7|0|69|0|0|19|0|1|1
http://trusturman.com/wp-content/js/TBMJAN092017/ee7ede19b166e8bcce52e545950b48be/login.php?cmd=login_submit&id=e325d326d91a8eaeac3bf95c04d173f8e325d326d91a8eaeac3bf95c04d173f8&session=e325d326d91a8eaeac3bf95c04d173f8e325d326d91a8eaeac3bf95c04d173f8|4.898529337995689|14|0|242|1|1|95|0|1|1
http://staging.schoolsleuth.org/LOOK/086162b3a709147a61dd2efaca91c66b|4.724537746555786|5|0|62|0|0|20|0|0|1
http://70.40.210.144/wp-includess/office%20new/office.html?&email&|4.5499449055806425|10|1|59|2|0|12|0|1|1
http://centervivo.com/Westpac.com.au/index.htm|4.0478467699778795|6|0|39|0|0|0|0|1|1
http://ibhsoftec.ru/wp-content/mode/index.htm|4.13569955274647|7|0|38|0|0|0|0|1|1
http://himanshusofttech.com/Dealfuel/wp/marriageinvitation/Dropbox/index.php|4.377247472627428|8|0|69|0|0|0|0|0|1
http://himanshusofttech.com/Dealfuel/wp/marriageinvitation/Dropbox/pvalidate.html|4.347769333293033|8|0|74|0|0|0|0|0|1
http://www.vdartinc.com/adminpanel/lib/sticky/minc/update/01gdqrlf3kh6u4l32rui4yy3m8iyqckh3rkk9vp25xzqsbjks3snshg4gotx/|4.981144937003808|9|0|112|0|0|16|0|0|1
http://mrdangola.com/.t67u83jne/tc7sx7x88r07r72leo7qkqau.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=&.rand=13InboxLight.aspx?n=1774256418&fid=4|5.012429972624576|15|0|228|1|0|75|0|1|1
http://www.mobile.free.moncompte.servic0c.beget.tech/free.mobile.mon.compte.fr/47fe9b988cd774d731902dc5998b2af6/|4.556156082600476|11|0|105|0|1|22|0|1|1
http://mildjs.com/wp-includes/Text/ratty/newtruexfinity/5176989937ab1a827ba7d024ac3aeedc/|4.825250291304124|8|0|82|0|0|19|0|1|1
https://luzevarela.com/wp-admin/office365/office365/017cc7149ecfa836871ab58afb3de499/|4.582528871746171|6|0|77|0|0|25|0|1|1
http://luzevarela.com/wp-admin/office365/office365/d7a8abb46aeb0b2976b9670bd24fca50/|4.576797626805836|6|0|77|0|0|23|0|1|1
http://test2.jessekanclerz.com/m4il/6e8462bf20e988ab3cb5265d6731b5b4/|4.6050230766490605|5|0|62|0|0|23|0|1|1
http://test2.jessekanclerz.com/m4il/d78ed370ce30404e9009ae3016f045a0/|4.441705382793048|5|0|62|0|0|24|0|1|1
http://www.mobile.free.moncompte.freemokx.beget.tech/freemobilemoncompte/93e4fafb6241bcd57420ec0054416ea2/|4.477581435011955|9|0|99|0|1|20|0|1|1
http://www.fixleaks.com/dist/dxmbox/xmlprdot/9910dc0dfd2c1e397cdd1e48ce65302a|4.613012081410429|7|0|70|0|0|18|0|1|1
http://matjournal.com/pdf/office/d29a98f52420b63a7c136712af115350/|4.556561168725781|5|0|59|0|0|24|0|1|1
http://www.luzevarela.com/wp-admin/office365/office365/d7e69c72cbaef57ca16587f7e668628d/|4.485887159064566|7|0|81|0|0|25|0|1|1
http://www.mobile.free.moncompte.freemokx.beget.tech/freemobilemoncompte/d59d0bffec1d8b6d825ccc333cd00ab2/|4.441283829312361|9|0|99|0|1|15|0|1|1
http://ieas.org.gr/modules/mod_breadcrumbs/tmpl/campolino/chines/4f66c766d88f33c3004729324a12df6a/?login=&.verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw+DQo8c3R5bGU+IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt|5.646250381333321|22|0|252|3|1|42|0|1|1
http://www.vdartinc.com/adminpanel/lib/sticky/minc/update/3tq27cgzvuu1xnbvrb8veu5al3lxlole71744duqxfhlsi69k4uopqp0k1nv/index.php|4.941817243720171|11|0|121|0|0|17|0|0|1
http://www.vdartinc.com/adminpanel/lib/sticky/minc/update/fy0cqx7l0r1ow8zfgwfqrz56gkxqbbcg02jgphrgyjulhkqo6v4nl0ksa89c/index.php|5.018701284288818|11|0|121|0|0|14|0|0|1
http://tejgaonmohilacollege.edu.bd/drive/index.php|4.1581409171909165|6|0|43|0|0|0|0|0|1
http://pccentralservicios.com/newsletter/s9qx2x22/5sa9x6/signOnV2Screen/Login/?cmd=_login-submit&amp;dispatch=ac9676305d7d8d25beabf82932518bdb7937a2257838c01176848a61bfa1f5f8de10c25f537cb7ac06199801063b15d0|5.038176302973188|13|0|199|2|1|73|0|0|1
https://www.teknikprimasolusi.com/dhl/onedrive/One-Drive.doc/LL1.htm|4.456995287947002|10|0|60|0|0|1|0|1|1
https://www.teknikprimasolusi.com/dhl/onedrive/One-Drive.doc/AA1.htm|4.456995287947002|10|0|60|0|0|1|0|1|1
http://luzevarela.com/wp-admin/office365/office365/e2bf016af032552c674537e401125577/|4.509640762173503|6|0|77|0|0|31|0|1|1
https://www.teknikprimasolusi.com/dhl/onedrive/One-Drive.doc/OF.htm|4.408173244960299|10|0|59|0|0|0|0|1|1
http://www.zendadansa.com/wp-admin/js/style/BankOfAmerica/index.php|4.43183237120822|10|0|60|0|0|0|0|1|1
http://www.zendadansa.com/wp-admin/js/style/BankOfAmerica/qes.php|4.441791934999683|10|0|58|0|0|0|0|1|1
http://www.zendadansa.com/wp-admin/js/style/BankOfAmerica/card.php|4.394669321534368|10|0|59|0|0|0|0|1|1
https://www.vakantieverhuur.be/pages/static/static/wf/netw/ff9c2fc67cc94d078a633ea295f1bb2f|4.584865486030152|8|0|83|0|0|17|0|0|1
https://www.vakantieverhuur.be/pages/static/static/wf/netw/ff9c2fc67cc94d078a633ea295f1bb2f/identity.php|4.642488575347392|10|0|96|0|0|17|0|0|1
http://safetyafrike.com/mood/12830aec1dbd5fa9a7e88467226f4d93/|4.4971926138321|4|0|55|0|0|20|0|1|1
http://www.vakantieverhuur.be/pages/static/static/wf/netw/d2d618b269215766303addbfad82870b/identity.php|4.654585028042498|10|0|96|0|0|21|0|0|1
http://manadajid.net/timing/fca096b285fd48580d7318d64357cd2c2d4cea55f363d0bef26ae3ad68333daa9494271b2853379f37dff67a59cb5875/|4.309095791940632|4|0|118|0|0|61|0|0|1
http://sportszonenj.com/bnb.gov.br/chave/mobi.php|4.061976875613826|8|0|42|0|0|0|0|0|1
http://recovery-help-centre15032018.000webhostapp.com/Payment-update-01.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed|4.833532251571436|16|0|137|1|0|14|0|1|1
http://recovery-help-centre15032018.000webhostapp.com/Payment-update-0.html?amp;count=0&amp;fb_bmpos=login_failed&amp;ref=bookmarks&fb_source=bookmark_apps|4.828428906859355|16|0|148|2|0|13|0|1|1
http://info21057551000f.000webhostapp.com/recovery-answer.html?amp;count=0&amp;fb_bmpos=login_failed&amp;ref=bookmarks&fb_source=bookmark_apps|4.775590549209601|14|0|135|2|0|15|0|1|1
http://estacasbrasil.com.br/assinaturas_email/americanexpress/securelogin/update/Logon.php|4.1551346189870175|9|0|83|0|0|0|0|1|1
http://52.70.129.120/js/.wp.php/rf/myaccount/7ee83/home?cmd=_account-details&dispatch=9b3cc7bd5ea55328bd6c4879c7b756fca5dcce8b&session=45ebfa1f2d6576671f7dadbecda6f4d0|4.8678746905572705|18|1|160|1|1|48|0|1|1
http://www.vdartinc.com/adminpanel/lib/sticky/minc/update/59p6au2cfzdi5t1q72wot565lheetyypyelyzd0434dzo4flw1zgxvb83fcn/index.php|4.929472098486093|11|0|121|0|0|19|0|0|1
http://www.businesspage.ecuaradionline.com/6899809ec87d82a1df9529e9015f0beb/|4.5439556599926405|5|0|69|0|0|21|0|1|1
http://www.zioneng.com.br/|3.5368867237421684|4|0|19|0|0|0|0|0|1
http://staging.schoolsleuth.org/LOOK/b8753dd14e13608f6a9833c50fcb1fde/|4.778091431093017|5|0|63|0|0|19|0|0|1
http://staging.schoolsleuth.org/LOOK/00704758cb380910b6181d4639e5f17f/|4.768724915763128|5|0|63|0|0|25|0|0|1
http://www.hitmanjazz.com/cache/com_flexicontent_items/docs/|4.133027529789976|6|0|53|0|0|0|0|1|1
http://www.vmesilver.com/ofrm/France-FreeMobile/c8b89ac721fea5e034edb94737ecc0ee/moncompte/index.php?amp|4.700811457348046|11|0|97|0|1|16|0|1|1
http://www.andoburg.com/concept/dropboxnew/dropbox/6d2d15dfb95aac5dc7d4c7d8c3c75933/|4.3925037490741|7|0|77|0|0|17|0|0|1
http://1at0ta-ch-com.webs.com/|3.795088586397733|4|0|23|0|0|2|0|0|1
http://52.70.129.120/js/.wp.php/rf/myaccount/21d7d/home?cmd=_account-details&dispatch=e8f1880f7d6d4c588e181439bbccb7e67e9c668e&session=e06c0d8f98493288e7a10bdb19e6731c|4.877497910302579|18|1|160|1|1|58|0|1|1
http://jobhopdirect.co.uk/chase/home/index.php|4.079772731460867|7|0|39|0|0|0|0|0|1
http://adermobilite.fr/wp-includes/SimplePie/XML/Declaration/Balance|4.385575970537787|8|0|61|0|0|0|0|0|1
http://nabconnect5.nab.com.au.servicing.auth.nabc.login.www9wo3kgyof6asmnqoq.q.nab.connect.yapitek.com.tr/nab/f224baf4de7840e583f38fba4e52d292/login/|4.688425102744098|13|0|142|0|0|23|0|1|1
http://matjournal.com/pdf/office/4470a5a2ebaa6591dfcc5d204e916173/|4.5260481338142515|5|0|59|0|0|20|0|1|1
https://www.safetyafrike.com/mood/721d760cafa0a24d83d55c2b8462ac71|4.504027115593421|5|0|58|0|0|20|0|1|1
http://businesspageshop.businesspage.ecuaradionline.com/b6aa93c4c817e981f9781bee79661052|4.52534633638024|5|0|81|0|0|22|0|1|1
http://nabconnect5.nab.com.au.servicing.auth.nabc.login.www9wo3kgyof6asmnqoq.q.nab.connect.yapitek.com.tr/nab/|4.294890940913266|12|0|103|0|0|4|0|1|1
http://www.mobile.free.moncompte.freemokx.beget.tech/freemobilemoncompte/c4e49f477a06cf3133f62b568db58c66/|4.527043677753502|9|0|99|0|1|21|0|1|1
http://www.mobile.free.moncompte.freerovl.beget.tech/freemobilemoncompte/ecb236d4ef3775dd13db9ba9ef46061a|4.463587395640977|9|0|98|0|1|17|0|1|1
http://https.mobile.free.fr.moncompte.freemod0.beget.tech/frebox158418/7a4dc560c5066b9074255a2eb2e6bc97/|4.562398188849136|10|0|97|0|1|28|0|1|1
http://test2.jessekanclerz.com/m4il/762c69e9e3d579ae11476b1df013b2c4|4.5835109528516735|5|0|61|0|0|23|0|1|1
http://mobile.free.fr.moncompte.freemorg.beget.tech/frebox158418/bcc0a04d50019eee7a008c4c31f5560d|4.404404932677539|9|0|90|0|1|25|0|1|1
https://labanquepostale.fr.rebikissling.com/labanquepostale287/c253d/|4.467485190576307|6|0|61|0|0|6|0|0|1
https://labanquepostale.fr.rebikissling.com/labanquepostale287/c253d/index2.html|4.554594966389559|8|0|72|0|0|7|0|0|1
http://www.balancelouisville.com/symbol/workzone/dropboxnew/dropbox/c73b80bba302c4dd7be83c7226c5508d|4.6238211508198654|8|0|93|0|0|19|0|1|1
